"log_id","shipment_id","container_id","sensor_id","timestamp","temperature_celsius","humidity_percent","location_latitude","location_longitude","location_description","alarm_triggered","alarm_type","operator_id","remarks"
"LOG00001","SHIP1001","CONT2001","SENS3001","2024-06-01T08:15:00Z","4.3","67.5","40.7128","-74.006","NYC Main Warehouse","false","none","OPR001",""
"LOG00002","SHIP1001","CONT2001","SENS3001","2024-06-01T09:45:00Z","5.1","65.2","40.7128","-74.006","NYC Main Warehouse","false","none","OPR001",""
"LOG00003","SHIP1001","CONT2001","SENS3002","2024-06-01T12:20:00Z","3.7","64.1","40.7128","-74.006","NYC Main Warehouse","false","none","OPR002","Routine check"
"LOG00004","SHIP1002","CONT2002","SENS3003","2024-06-02T07:50:00Z","-21.7","89.9","48.8566","2.3522","Paris Frozen Storage","true","temperature_low","OPR003","Temperature dropped below threshold"
"LOG00005","SHIP1002","CONT2002","SENS3004","2024-06-02T09:10:00Z","-17.8","85.1","48.8566","2.3522","Paris Frozen Storage","false","none","OPR003","Frozen shipment"
"LOG00006","SHIP1002","CONT2002","SENS3004","2024-06-02T11:00:00Z","-23.2","92.8","48.8566","2.3522","Paris Frozen Storage","true","temperature_low","OPR004","Alert: Temperature out of range"
"LOG00007","SHIP1003","CONT2003","SENS3005","2024-06-03T06:30:00Z","27.6","63.9","35.6895","139.6917","Tokyo Distribution Center","false","none","OPR005",""
"LOG00008","SHIP1003","CONT2003","SENS3005","2024-06-03T07:00:00Z","25.9","70.8","35.6895","139.6917","Tokyo Distribution Center","false","none","OPR006",""
"LOG00009","SHIP1004","CONT2004","SENS3006","2024-06-04T13:25:00Z","6.2","75.2","52.52","13.405","Berlin Cold Chain Hub","false","none","OPR007","Routine log"
"LOG00010","SHIP1004","CONT2004","SENS3007","2024-06-04T17:40:00Z","7.1","72.4","52.52","13.405","Berlin Cold Chain Hub","false","none","OPR007",""
"LOG00011","SHIP1005","CONT2005","SENS3008","2024-06-05T09:05:00Z","99.8","12.1","24.7136","46.6753","Riyadh Highway Outbound","true","temperature_high","OPR008","Desert conditions detected"
"LOG00012","SHIP1005","CONT2005","SENS3008","2024-06-05T10:25:00Z","92.5","15.2","24.7136","46.6753","Riyadh Highway Outbound","false","none","OPR008",""
"LOG00013","SHIP1006","CONT2006","SENS3009","2024-06-06T03:15:00Z","0","98.2","60.1699","24.9384","Helsinki Port Facility","true","humidity_high","OPR009","Humidity exceeding threshold"
"LOG00014","SHIP1006","CONT2006","SENS3010","2024-06-06T05:15:00Z","2.5","88.1","60.1699","24.9384","Helsinki Port Facility","true","humidity_high","OPR009","High humidity warning"
"LOG00015","SHIP1007","CONT2007","SENS3011","2024-06-07T01:20:00Z","41.4","9.2","25.276987","55.296249","Dubai Distribution Yard","false","none","OPR010",""
"LOG00016","SHIP1007","CONT2007","SENS3011","2024-06-07T03:40:00Z","47.8","7.4","25.276987","55.296249","Dubai Distribution Yard","false","none","OPR010","Routine reading"
"LOG00017","SHIP1007","CONT2007","SENS3012","2024-06-07T06:00:00Z","100","2.9","25.276987","55.296249","Dubai Distribution Yard","true","temperature_high","","Edge: max temperature boundary"
"LOG00018","SHIP1008","CONT2008","SENS3013","2024-06-08T10:30:00Z","-100","100","-90","0","Antarctic Field Test","true","temperature_low","","System edge case"
"LOG00019","SHIP1008","CONT2008","SENS3013","2024-06-08T12:45:00Z","-99.9","99.9","-90","0","Antarctic Field Test","true","temperature_low","","Edge: minimum temperature boundary"
"LOG00020","SHIP1009","CONT2009","SENS3014","2024-06-09T16:10:00Z","7.7","71.8","41.9028","12.4964","Rome Warehouse Terminal","false","none","OPR011",""
"LOG00021","SHIP1010","CONT2010","SENS3015","2024-06-10T11:25:00Z","2.3","62.7","55.7558","37.6173","Moscow Cold Chain Dock","false","none","OPR012","Routine check"
"LOG00022","SHIP1010","CONT2010","SENS3016","2024-06-10T13:00:00Z","4","68.1","55.7558","37.6173","Moscow Cold Chain Dock","false","none","OPR012",""
"LOG00023","SHIP1011","CONT2011","SENS3017","2024-06-11T10:40:00Z","8","75","51.5074","-0.1278","London Gateway Port","false","none","OPR013","Dockside reading"
"LOG00024","SHIP1011","CONT2011","SENS3017","2024-06-11T13:25:00Z","7.2","74.4","51.5074","-0.1278","London Gateway Port","false","none","OPR013",""
"LOG00025","SHIP1012","CONT2012","SENS3018","2024-06-12T08:50:00Z","6.1","73.2","33.4484","-112.074","Phoenix Handling Center","false","none","OPR014",""
"LOG00026","SHIP1012","CONT2012","SENS3019","2024-06-12T10:30:00Z","5.7","69.9","33.4484","-112.074","Phoenix Handling Center","false","none","OPR014",""
"LOG00027","SHIP1013","CONT2013","SENS3020","2024-06-13T16:00:00Z","-18.5","92.2","32.7767","-96.797","Dallas Cold Room","true","temperature_low","OPR015","Alert: Frozen alarm"
"LOG00028","SHIP1013","CONT2013","SENS3020","2024-06-13T18:45:00Z","-18","85.5","32.7767","-96.797","Dallas Cold Room","true","temperature_low","OPR015","Frozen alarm resolved"
"LOG00029","SHIP1014","CONT2014","SENS3021","2024-06-14T05:00:00Z","5.4","68.8","59.3293","18.0686","Stockholm Central Depot","false","none","OPR016",""
"LOG00030","SHIP1014","CONT2014","SENS3021","2024-06-14T07:50:00Z","6","69.7","59.3293","18.0686","Stockholm Central Depot","false","none","OPR016",""
"LOG00031","SHIP1015","CONT2015","SENS3022","2024-06-15T12:20:00Z","0.2","85.7","35.6762","139.6503","Tokyo Inspection Facility","true","humidity_high","OPR017","High humidity event"
"LOG00032","SHIP1015","CONT2015","SENS3022","2024-06-15T14:40:00Z","3.5","87.1","35.6762","139.6503","Tokyo Inspection Facility","true","humidity_high","OPR017",""
"LOG00033","SHIP1016","CONT2016","SENS3023","2024-06-16T08:05:00Z","44.2","11.5","41.0082","28.9784","Istanbul West Yard","false","none","OPR018",""
"LOG00034","SHIP1016","CONT2016","SENS3024","2024-06-16T09:50:00Z","49.8","3.1","41.0082","28.9784","Istanbul West Yard","false","none","OPR018","Routine check"
"LOG00035","SHIP1017","CONT2017","SENS3025","2024-06-17T15:10:00Z","55","8.5","29.7604","-95.3698","Houston Intermodal Lot","false","none","OPR019",""
"LOG00036","SHIP1017","CONT2017","SENS3026","2024-06-17T16:30:00Z","58.3","13.2","29.7604","-95.3698","Houston Intermodal Lot","false","none","OPR019",""
"LOG00037","SHIP1018","CONT2018","SENS3027","2024-06-18T07:35:00Z","4.7","65","50.1109","8.6821","Frankfurt Main Warehouse","false","none","OPR020",""
"LOG00038","SHIP1018","CONT2018","SENS3027","2024-06-18T09:55:00Z","3.8","62.2","50.1109","8.6821","Frankfurt Main Warehouse","false","none","OPR020",""
